Year, city1                                  , city2                                  , nsmiles, fare
2024, "Chicago, IL"                          , "San Francisco, CA (Metropolitan Area)",    1855, 207.05
2024, "Chicago, IL"                          , "Miami, FL (Metropolitan Area)"        ,    1197, 220.9
2024, "Chicago, IL"                          , "Los Angeles, CA (Metropolitan Area)"  ,    1750, 263.35
2024, "Chicago, IL"                          , "Louisville, KY"                       ,     286, 155.83
2024, "Chicago, IL"                          , "Cincinnati, OH"                       ,     264, 169.61
2024, "Chicago, IL"                          , "Sacramento, CA"                       ,    1790, 270.02
2024, "Chicago, IL"                          , "Tampa, FL (Metropolitan Area)"        ,    1012, 184.17
2024, "Chicago, IL"                          , "Kansas City, MO"                      ,     405, 179.3
2024, "Chicago, IL"                          , "San Antonio, TX"                      ,    1041, 227.31
2024, "Chicago, IL"                          , "Memphis, TN"                          ,     491, 168.27
2024, "Chicago, IL"                          , "Omaha, NE"                            ,     423, 181.6
2024, "Chicago, IL"                          , "New Orleans, LA"                      ,     837, 212.9
2024, "Chicago, IL"                          , "San Diego, CA"                        ,    1728, 238.56
2024, "Chicago, IL"                          , "Norfolk, VA (Metropolitan Area)"      ,     717, 199.54
2024, "Chicago, IL"                          , "Pensacola, FL"                        ,     794, 239.96
2024, "Chicago, IL"                          , "Oklahoma City, OK"                    ,     693, 198.55
2024, "Chicago, IL"                          , "West Palm Beach/Palm Beach, FL"       ,    1144, 252.98
2024, "Chicago, IL"                          , "Portland, OR"                         ,    1751, 229.25
2024, "Chicago, IL"                          , "Philadelphia, PA"                     ,     678, 165.66
2024, "Chicago, IL"                          , "Palm Springs, CA"                     ,    1657, 253.27
2024, "Chicago, IL"                          , "Raleigh/Durham, NC"                   ,     646, 174.75
2024, "Chicago, IL"                          , "Richmond, VA"                         ,     642, 203.61
2024, "Chicago, IL"                          , "Salt Lake City, UT"                   ,    1259, 243.82
2024, "Chicago, IL"                          , "Savannah, GA"                         ,     773, 209.62
2024, "Chicago, IL"                          , "Sarasota/Bradenton, FL"               ,    1050, 236.8
2024, "Chicago, IL"                          , "Knoxville, TN"                        ,     475, 356.25
2024, "Charleston, SC"                       , "Dallas/Fort Worth, TX"                ,     987, 236.71
2024, "Charleston, SC"                       , "Phoenix, AZ"                          ,    1846, 283.08
2024, "Charleston, SC"                       , "Washington, DC (Metropolitan Area)"   ,     472, 196.66
2024, "Charleston, SC"                       , "Chicago, IL"                          ,     760, 185.69
2024, "Charleston, SC"                       , "Houston, TX"                          ,     928, 243.69
2024, "Charleston, SC"                       , "New York City, NY (Metropolitan Area)",     677, 182.49
